연령대,장르,시청 수,평균 평점
18-24,액션,50186,3.447096799904356
18-24,모험,26324,3.408524540343413
18-24,애니메이션,10269,3.624014022787029
18-24,아동,16924,3.294256676908532
18-24,코미디,69980,3.4604172620748783
18-24,범죄,15373,3.6680543810576975
18-24,다큐멘터리,1081,3.86586493987049
18-24,드라마,58104,3.721929643398045
18-24,판타지,7875,3.3537777777777777
18-24,느와르,2280,3.997368421052632
18-24,공포,15184,3.17268177028451
18-24,뮤지컬,7555,3.560291197882197
18-24,미스터리,6401,3.5253866583346354
18-24,로맨스,25656,3.53429996881821
18-24,SF,29033,3.4260668894017154
18-24,스릴러,35877,3.494634445466455
18-24,전쟁,10874,3.853135920544418
18-24,서부,2863,3.471533356618932
25-34,액션,105678,3.453358314881054
25-34,모험,52633,3.443163034598066
25-34,애니메이션,16454,3.7012276650054696
25-34,아동,25743,3.4268733247873207
25-34,코미디,143210,3.490384749668319
25-34,범죄,33030,3.680320920375416
25-34,다큐멘터리,3489,3.946689595872743
25-34,드라마,138695,3.726428494177872
25-34,판타지,14290,3.452484254723583
25-34,느와르,6539,4.058724575623184
25-34,공포,31235,3.200096046102129
25-34,뮤지컬,14705,3.619857191431486
25-34,미스터리,15160,3.6108179419525066
25-34,로맨스,58003,3.5467303415340585
25-34,SF,63156,3.443821647982773
25-34,스릴러,77429,3.535471205878934
25-34,전쟁,24830,3.841240434957713
25-34,서부,7053,3.6078264568268814
35-44,액션,50503,3.5381066471298737
35-44,모험,26682,3.515291207555656
35-44,애니메이션,8117,3.740544536158679
35-44,아동,14004,3.5184233076263927
35-44,코미디,69244,3.5619837097799087
35-44,범죄,14895,3.7337361530715
35-44,다큐멘터리,1708,3.953747072599532
35-44,드라마,71590,3.78251152395586
35-44,판타지,7006,3.482300884955752
35-44,느와르,4175,4.064910179640719
35-44,공포,15122,3.276021690252612
35-44,뮤지컬,8746,3.721587011205122
35-44,미스터리,8179,3.697395769653992
35-44,로맨스,29330,3.651142175247187
35-44,SF,32333,3.502118578542047
35-44,스릴러,36840,3.6159337676438654
35-44,전쟁,14514,3.901129943502825
35-44,서부,4546,3.67927848658161
45-49,액션,19357,3.528542646071189
45-49,모험,10738,3.528962562860868
45-49,애니메이션,2889,3.734856351678781
45-49,아동,5400,3.5275925925925926
45-49,코미디,27890,3.5917891717461456
45-49,범죄,6048,3.750661375661376
45-49,다큐멘터리,687,3.9665211062590977
45-49,드라마,32141,3.784356429482592
45-49,판타지,2695,3.5324675324675323
45-49,느와르,1860,4.105376344086022
45-49,공포,6192,3.2622739018087854
45-49,뮤지컬,3898,3.7444843509492047
45-49,미스터리,3851,3.7543495196052974
45-49,로맨스,13283,3.685989610780697
45-49,SF,13040,3.482515337423313
45-49,스릴러,14933,3.639657135203911
45-49,전쟁,6642,3.960554049984944
45-49,서부,2133,3.6671354899203
50-55,액션,17012,3.611333176581237
50-55,모험,9090,3.628162816281628
50-55,애니메이션,2032,3.78001968503937
50-55,아동,3890,3.556555269922879
50-55,코미디,23133,3.6468681104915057
50-55,범죄,5520,3.8106884057971016
50-55,다큐멘터리,555,3.908108108108108
50-55,드라마,29247,3.878414880158649
50-55,판타지,2127,3.5815702867889048
50-55,느와르,1870,4.175401069518717
50-55,공포,4681,3.1589403973509933
50-55,뮤지컬,3093,3.798254122211445
50-55,미스터리,3520,3.885795454545456
50-55,로맨스,11373,3.758111316275389
50-55,SF,10674,3.564455686715384
50-55,스릴러,13240,3.709667673716012
50-55,전쟁,6314,3.9741843522331326
50-55,서부,2420,3.7413223140495866
56+,액션,8143,3.6107085840599287
56+,모험,4488,3.6490641711229945
56+,애니메이션,1083,3.7562326869806095
56+,아동,1888,3.621822033898305
56+,코미디,11961,3.6509489173146057
56+,범죄,2974,3.8325487558843294
56+,다큐멘터리,260,3.9615384615384617
56+,드라마,17269,3.933464589727257
56+,판타지,948,3.532700421940928
56+,느와르,1207,4.125932062966031
56+,공포,1761,3.2544009085746737
56+,뮤지컬,1889,3.8867125463208048
56+,미스터리,2147,3.8905449464368886
56+,로맨스,6279,3.816531294792165
56+,SF,4880,3.497745901639344
56+,스릴러,6537,3.719749120391617
56+,전쟁,3775,4.067284768211921
56+,서부,1333,3.792198049512378
Under 18,액션,6578,3.5063849194283976
Under 18,모험,3998,3.449974987493747
Under 18,애니메이션,2449,3.4761126990608413
Under 18,아동,4337,3.2416416878026286
Under 18,코미디,11162,3.4974914889804696
Under 18,범죄,1701,3.7101704879482655
Under 18,다큐멘터리,130,3.730769230769231
Under 18,드라마,7483,3.794734732059335
Under 18,판타지,1360,3.3176470588235296
Under 18,느와르,330,4.1454545454545455
Under 18,공포,2211,3.254183627317956
Under 18,뮤지컬,1647,3.568306010928962
Under 18,미스터리,920,3.631521739130435
Under 18,로맨스,3599,3.621283689913865
Under 18,SF,4178,3.478697941598852
Under 18,스릴러,4824,3.550373134328358
Under 18,전쟁,1578,3.8954372623574143
Under 18,서부,335,3.5761194029850745
