channel_name,group_title,url
12tv,General,#EXTVLCOPT:http-referrer=https://www.12tv.es/
101tv Axarquia (480p),General,https://www.streaming101tv.es:19360/axarquia/axarquia.m3u8
101tv Cádiz (1080p),General,https://streaming101tv.es:19360/cadiz/cadiz.m3u8
101tv Malaga,News,#EXTVLCOPT:http-referrer=https://player.instantvideocloud.net/
111 TV (720p),General,https://5db313b643fd8.streamlock.net/111TV/111TV/playlist.m3u8
247 Box TV,Entertainment,https://hls.247box.live/hls/stream.m3u8
247 Retro TV (432p) [Not 24/7],Classic,http://hlsdpi-cdn-chqtx02.totalstream.net/dpilive/247retro/ret/dai/playlist.m3u8
312 Кино (406p),Movies,http://176.126.166.43:1935/live/312kino/playlist.m3u8
312 ТВ (406p),Entertainment,http://176.126.166.43:1935/live/312musik/playlist.m3u8
360 (1080p),News,http://185.234.111.229:8000/play/a05a
360° (1080p) [Not 24/7],General,https://edge2-tv-ll.facecast.io/evacoder_hls_hi/CkxfR1xNUAJwTgtXTBZTAJli/index.m3u8
360° Новости,News,https://live-vgtrksmotrim.cdnvideo.ru/vgtrksmotrim/smotrim-live-03-srt.smil/playlist.m3u8
504 TV (720p),Entertainment,https://mediacp.us:8081/504tvhn/index.m3u8
1001 Noites (720p) [Not 24/7],Shop,https://cdn.jmvstream.com/w/LVW-8155/ngrp:LVW8155_41E1ciuCvO_all/playlist.m3u8
90210,Undefined,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65a67dd13af63d0008257f17/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=bc8293f0-4b91-11ef-8a44-83c5e90e038f&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=6b751f03-945e-4e30-a909-d3e4de858fa8
90210,Series,http://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/stitch/hls/channel/65a67dd13af63d0008257f17/master.m3u8?appName=web&appVersion=unknown&clientTime=0&deviceDNT=0&deviceId=1b1c5240-4b81-11ef-a8ac-e146e4e7be02&deviceMake=Chrome&deviceModel=web&deviceType=web&deviceVersion=unknown&includeExtendedEvents=false&serverSideAds=false&sid=6e62cae5-9404-4e52-8b20-c5fc2b453e9d
:Šport (1080p),Sports,http://88.212.15.27/live/test_rtvs_sport_hevc/playlist.m3u8
¡OPA! (1080i) [Geo-blocked],Entertainment,https://5fc584f3f19c9.streamlock.net:443/genteopa/videogenteopa/playlist.m3u8
&TV (1080p),Movies,https://amg01117-amg01117c1-amgplt0165.playout.now3.amagi.tv/playlist.m3u8
.black,Entertainment,http://s1.merlive.am/black/index.m3u8
